# name|url|ref|target_path|lang|include_kts|project_timeout|java_grammar|min_total_files|min_parsed_files|max_failed_files|max_unresolved
# 50 Java-based OSS projects
google/guava|https://github.com/google/guava.git||.|java|false|900|java20||||
google/gson|https://github.com/google/gson.git||.|java|false|900|java20||||
square/retrofit|https://github.com/square/retrofit.git||.|java|false|900|java20||||
reactivestreams/reactive-streams-jvm|https://github.com/reactive-streams/reactive-streams-jvm.git||.|java|false|900|java20||||
apache/commons-io|https://github.com/apache/commons-io.git||.|java|false|900|java20||||
apache/commons-codec|https://github.com/apache/commons-codec.git||.|java|false|900|java20||||
apache/commons-collections|https://github.com/apache/commons-collections.git||.|java|false|900|java20||||
apache/commons-lang|https://github.com/apache/commons-lang.git||.|java|false|900|java20||||
apache/commons-text|https://github.com/apache/commons-text.git||.|java|false|900|java20||||
apache/commons-csv|https://github.com/apache/commons-csv.git||.|java|false|900|java20||||
apache/commons-compress|https://github.com/apache/commons-compress.git||.|java|false|900|java20||||
apache/commons-cli|https://github.com/apache/commons-cli.git||.|java|false|900|java20||||
apache/commons-configuration|https://github.com/apache/commons-configuration.git||.|java|false|900|java20||||
apache/commons-dbcp|https://github.com/apache/commons-dbcp.git||.|java|false|900|java20||||
apache/commons-pool|https://github.com/apache/commons-pool.git||.|java|false|900|java20||||
apache/commons-beanutils|https://github.com/apache/commons-beanutils.git||.|java|false|900|java20||||
apache/commons-jexl|https://github.com/apache/commons-jexl.git||.|java|false|900|java20||||
apache/commons-validator|https://github.com/apache/commons-validator.git||.|java|false|900|java20||||
apache/httpcomponents-client|https://github.com/apache/httpcomponents-client.git||.|java|false|900|java20||||
apache/httpcomponents-core|https://github.com/apache/httpcomponents-core.git||.|java|false|900|java20||||
FasterXML/jackson-core|https://github.com/FasterXML/jackson-core.git||.|java|false|900|java20||||
FasterXML/jackson-databind|https://github.com/FasterXML/jackson-databind.git||.|java|false|900|java20||||
FasterXML/jackson-annotations|https://github.com/FasterXML/jackson-annotations.git||.|java|false|900|java20||||
FasterXML/jackson-dataformats-text|https://github.com/FasterXML/jackson-dataformats-text.git||.|java|false|900|java20||||
